Flight_Number,Airline,Airline_Code,Origin_Code,Origin_City,Origin_Country,Destination_Code,Destination_City,Destination_Country,Departure_Time,Arrival_Time,Duration_Minutes,Stops,Economy_Price_INR,Business_Price_INR,Currency,Direction
AI8413,Air India,AI,BLR,Bengaluru,India,BKK,Bangkok,Thailand,2025-02-08 17:00,2025-02-09 02:14,554,Direct,96387,177968,INR,From India
LH9364,Lufthansa,LH,BKK,Bangkok,Thailand,BOM,Mumbai,India,2025-02-06 07:00,2025-02-06 19:24,744,Direct,75642,139732,INR,To India
LH2463,Lufthansa,LH,LHR,London,UK,TRV,Thiruvananthapuram,India,2025-01-27 07:00,2025-01-27 19:30,750,2+ Stops,37455,76096,INR,To India
UK1128,Vistara,UK,DOH,Doha,Qatar,TRV,Thiruvananthapuram,India,2025-02-23 18:15,2025-02-24 03:36,561,2+ Stops,32770,73345,INR,To India
SQ6024,Singapore Airlines,SQ,DXB,Dubai,UAE,TRV,Thiruvananthapuram,India,2025-10-01 13:30,2025-10-02 00:26,656,1 Stop,96750,245624,INR,To India
EK7453,Emirates,EK,SYD,Sydney,Australia,BLR,Bengaluru,India,2025-02-12 18:30,2025-02-13 06:27,717,1 Stop,84895,212246,INR,To India
LH1371,Lufthansa,LH,ICN,Seoul,South Korea,BOM,Mumbai,India,2025-03-27 10:15,2025-03-27 21:35,680,2+ Stops,75272,137850,INR,To India
BA7867,British Airways,BA,CCU,Kolkata,India,SYD,Sydney,Australia,2025-09-13 18:45,2025-09-13 22:55,250,2+ Stops,32267,82466,INR,From India
QR5785,Qatar Airways,QR,SYD,Sydney,Australia,DEL,New Delhi,India,2025-10-24 21:45,2025-10-25 05:36,471,Direct,113929,240234,INR,To India
6E6619,IndiGo,6E,CCU,Kolkata,India,SFO,San Francisco,USA,2025-09-11 01:15,2025-09-11 09:09,474,1 Stop,36952,88340,INR,From India
SQ4661,Singapore Airlines,SQ,BOM,Mumbai,India,SFO,San Francisco,USA,2025-07-26 17:30,2025-07-26 22:50,320,2+ Stops,76429,190398,INR,From India
LH3922,Lufthansa,LH,CCU,Kolkata,India,FRA,Frankfurt,Germany,2025-04-30 04:00,2025-04-30 10:00,360,Direct,39830,79085,INR,From India
QR9378,Qatar Airways,QR,TRV,Thiruvananthapuram,India,SFO,San Francisco,USA,2025-05-26 00:15,2025-05-26 10:24,609,1 Stop,90069,188730,INR,From India
AI7989,Air India,AI,CDG,Paris,France,GOI,Goa,India,2025-08-23 21:45,2025-08-24 07:32,587,2+ Stops,72294,152923,INR,To India
6E1777,IndiGo,6E,DEL,New Delhi,India,DXB,Dubai,UAE,2025-04-18 14:15,2025-04-18 19:07,292,Direct,64571,147259,INR,From India
BA4232,British Airways,BA,JFK,New York,USA,GOI,Goa,India,2025-01-15 02:15,2025-01-15 15:43,808,1 Stop,69313,133000,INR,To India
6E1774,IndiGo,6E,AMD,Ahmedabad,India,JFK,New York,USA,2025-09-08 14:45,2025-09-09 02:00,675,2+ Stops,60875,113757,INR,From India
UK8999,Vistara,UK,HYD,Hyderabad,India,NRT,Tokyo,Japan,2025-09-23 00:15,2025-09-23 12:15,720,Direct,67415,129253,INR,From India
QR8336,Qatar Airways,QR,BOM,Mumbai,India,SYD,Sydney,Australia,2025-09-24 11:15,2025-09-24 20:19,544,1 Stop,49201,109525,INR,From India
EK574,Emirates,EK,YYZ,Toronto,Canada,TRV,Thiruvananthapuram,India,2025-05-04 12:15,2025-05-04 18:39,384,Direct,87847,192756,INR,To India
EK3816,Emirates,EK,AMD,Ahmedabad,India,DOH,Doha,Qatar,2025-06-27 14:30,2025-06-27 23:43,553,1 Stop,30556,60389,INR,From India
SQ2064,Singapore Airlines,SQ,DXB,Dubai,UAE,CCU,Kolkata,India,2025-01-02 15:30,2025-01-03 05:28,838,1 Stop,31112,76775,INR,To India
LH1491,Lufthansa,LH,SFO,San Francisco,USA,AMD,Ahmedabad,India,2025-06-21 02:45,2025-06-21 13:39,654,2+ Stops,72610,173877,INR,To India
AI9862,Air India,AI,SFO,San Francisco,USA,BLR,Bengaluru,India,2025-03-20 18:45,2025-03-21 08:56,851,1 Stop,39159,89645,INR,To India
UK7207,Vistara,UK,BLR,Bengaluru,India,ICN,Seoul,South Korea,2025-01-12 00:00,2025-01-12 11:59,719,Direct,118237,301137,INR,From India
EK6965,Emirates,EK,DOH,Doha,Qatar,DEL,New Delhi,India,2025-05-31 16:15,2025-06-01 05:15,780,Direct,62728,125925,INR,To India
LH7311,Lufthansa,LH,NRT,Tokyo,Japan,CCU,Kolkata,India,2025-09-15 04:15,2025-09-15 16:11,716,Direct,86918,157753,INR,To India
UK8592,Vistara,UK,SFO,San Francisco,USA,BLR,Bengaluru,India,2025-09-01 19:00,2025-09-02 07:29,749,2+ Stops,28094,57895,INR,To India
AI9303,Air India,AI,BOM,Mumbai,India,ICN,Seoul,South Korea,2025-05-09 06:30,2025-05-09 10:13,223,Direct,32811,72386,INR,From India
EK4353,Emirates,EK,SIN,Singapore,Singapore,AMD,Ahmedabad,India,2025-05-23 14:45,2025-05-24 02:24,699,2+ Stops,52460,123772,INR,To India
LH7117,Lufthansa,LH,SFO,San Francisco,USA,AMD,Ahmedabad,India,2025-03-05 12:45,2025-03-05 21:08,503,Direct,29508,68957,INR,To India
6E7763,IndiGo,6E,YYZ,Toronto,Canada,HYD,Hyderabad,India,2025-03-22 22:30,2025-03-23 03:56,326,Direct,53175,133270,INR,To India
UK3307,Vistara,UK,NRT,Tokyo,Japan,COK,Kochi,India,2025-04-26 05:45,2025-04-26 17:32,707,1 Stop,72928,151055,INR,To India
BA5531,British Airways,BA,BOM,Mumbai,India,SYD,Sydney,Australia,2025-01-11 10:45,2025-01-11 21:16,631,2+ Stops,112163,203515,INR,From India
