ID,Name,Specialty,Hospital_Group,City,District,State,Rating_5_Scale,Review_Summary,,,,,,,,
1,National Hospital,Pediatrics,Prime Medical Group,Kolhapur,Kolhapur District,Maharashtra,3.5,Exceptional care and professional staff.,,,,,,,,
2,Fortis Hospital,Endocrinology,Global Health Group,Bhopal,Bhopal District,Madhya Pradesh,4.4,Exceptional care and professional staff.,,,,,,,,
3,Global Health Centre,Endocrinology,Fortis Healthcare,Vijayawada,Vijayawada District,Andhra Pradesh,4.9,Caring doctors and quick emergency response.,,,,,,,,
4,CarePlus Hospital,Pulmonology,Prime Medical Group,Jamshedpur,Jamshedpur District,Jharkhand,4.1,"Very skilled specialists, especially in their department.",,,,,,,,
5,Fortis Health Centre,Plastic Surgery,Apollo Group,Bengaluru,Bengaluru District,Karnataka,3.5,Good experience overall but long waiting times.,,,,,,,,
6,CarePlus Medical Center,ENT,City Health Org,Bhopal,Bhopal District,Madhya Pradesh,3.3,Good value for money and efficient treatment.,,,,,,,,
7,Fortis Hospital,Oncology,Aster DM Healthcare,Chennai,Chennai District,Tamil Nadu,3.5,Excellent diagnostics and attentive staff.,,,,,,,,
8,Fortis Health Centre,Obstetrics & Gynecology,Prime Medical Group,Jaipur,Jaipur District,Rajasthan,3.9,Good value for money and efficient treatment.,,,,,,,,
9,National Health Institute,Nephrology,Swasthya Foundation,Chennai,Chennai District,Tamil Nadu,4.6,Good value for money and efficient treatment.,,,,,,,,
10,National Health Centre,Neurology,Swasthya Foundation,Salem,Salem District,Tamil Nadu,3.2,Good value for money and efficient treatment.,,,,,,,,
11,National Health Centre,Urology,Swasthya Foundation,Varanasi,Varanasi District,Uttar Pradesh,4.2,Excellent diagnostics and attentive staff.,,,,,,,,
12,Prime Clinic,General,Independent,Erode,Erode District,Tamil Nadu,4.8,Good value for money and efficient treatment.,,,,,,,,
13,Raj Health Institute,Urology,Narayana Health,Jaipur,Jaipur District,Rajasthan,4.7,Average service; room service needs improvement.,,,,,,,,
14,Crystal Care Hospital,General,Apollo Group,Patna,Patna District,Bihar,3.4,Exceptional care and professional staff.,,,,,,,,
15,City Hospital,Oncology,Aster DM Healthcare,Vadodara,Vadodara District,Gujarat,4,Highly recommended for specialized surgery.,,,,,,,,
16,Swasth Medical Center,Ophthalmology,Apollo Group,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.9,Exceptional care and professional staff.,,,,,,,,
17,Fortis Clinic,Pediatrics,Max Healthcare,Kolkata,Kolkata District,West Bengal,3.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
18,Sunrise Hospital,Rheumatology,Apollo Group,Chennai,Chennai District,Tamil Nadu,4.7,Average service; room service needs improvement.,,,,,,,,
19,Yashodha Hospital,Pediatrics,Manipal Hospitals,Kanpur,Kanpur District,Uttar Pradesh,4.9,Highly recommended for specialized surgery.,,,,,,,,
20,Harmony Hospital,Neurology,Prime Medical Group,Chennai,Chennai District,Tamil Nadu,3.1,Good value for money and efficient treatment.,,,,,,,,
21,Trinity Medical Center,Plastic Surgery,Swasthya Foundation,Hyderabad,Hyderabad District,Telangana,3.5,Average service; room service needs improvement.,,,,,,,,
22,Swasth Hospital & Research,Pediatrics,Max Healthcare,Thane,Thane District,Maharashtra,3.8,Exceptional care and professional staff.,,,,,,,,
