Country,Passport_Validity,Required_Documents,Additional_Notes
Afghanistan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Medical letter should state diagnosis and planned treatment; embassy may request translations"
Albania,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Ensure hospital appointment confirmation included"
Algeria,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","May require embassy appointment and additional consular docs"
Andorra,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Small country — standard requirements apply"
Angola,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Medical reports may need translation to English"
Antigua and Barbuda,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant details required if bringing caregiver"
Argentina,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital cost estimate"
Armenia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Embassy may ask for medical insurance details"
Australia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Biometric/appointment may be required at VAC"
Austria,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital admission/appointment confirmation"
Azerbaijan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","May require embassy attestation"
